Technology Type,Fuel Type,Region,ISP Sub-region,REZ Location,Cost Region,Summer Rating (% of nameplate),Not Summer Rating (% of nameplate),Maintenance (% of time out),Equivalent average days per year on planned outage ,2020-21 Step Change Build Cost ($/kW),Connection Cost ($/kW),Lead Time (yrs),Economic Life (yrs),Technical Life (yrs),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),2021-22 Step Change Fuel Cost ($/GJ),Emissions (kg/MWh),Auxiliary Load (%),SRMC ($/MWh),,,,,,
Biomass,Biomass,NSW,CNSW,N/A,NSW Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,80,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Biomass,Biomass,NSW,SNW,N/A,NSW Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,80,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Biomass,Biomass,NSW,SNSW,N/A,NSW Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,80,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Biomass,Biomass,SA,SA,N/A,SA Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,103.3333333,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Biomass,Biomass,TAS,TAS,N/A,TAS Low,101.7811705,101.7811705,6.246575342,22.8,7533.805,108,6,30,50,136.4314685,8.73154,13.73609597,0.547543554,1270.982494,8.3,16.2526508,,,,,,
Large scale Solar PV,Solar,QLD,CNQ,Far North QLD,QLD Low,100,100,0,0,1560.685,229.3333333,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,QLD,CNQ,North Qld Clean Energy Hub,QLD Low,100,100,0,0,1560.685,262.6666667,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,QLD,CNQ,Northern Qld,QLD Low,100,100,0,0,1560.685,229.3333333,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,QLD,CNQ,Isaac,QLD Low,100,100,0,0,1560.685,229.3333333,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,QLD,CNQ,Barcaldine,QLD Medium,100,100,0,0,1695.742374,156.6666667,2,25,30,19.75374812,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,QLD,CNQ,Fitzroy,QLD Low,100,100,0,0,1560.685,123.3333333,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,QLD,SQ,Wide Bay,QLD Low,100,100,0,0,1560.685,123.3333333,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,QLD,SQ,Darling Downs,QLD Low,100,100,0,0,1560.685,123.3333333,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,QLD,SQ,Banana,QLD Medium,100,100,0,0,1695.742374,123.3333333,2,25,30,19.75374812,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,NNSW,North West NSW,NSW Medium,100,100,0,0,1664.679971,132.5,2,25,30,19.01662448,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,NNSW,New England,NSW Low,100,100,0,0,1560.685,132.5,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,CNSW,Central-West Orana,NSW Medium,100,100,0,0,1664.679971,132.5,2,25,30,19.01662448,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,SNSW,Broken Hill,NSW High,100,100,0,0,1768.674942,176,2,25,30,20.57536419,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,SNSW,South West NSW,NSW High,100,100,0,0,1768.674942,132.5,2,25,30,20.57536419,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,SNSW,Wagga Wagga,NSW Medium,100,100,0,0,1664.679971,132.5,2,25,30,19.01662448,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,SNSW,Tumut,NSW Medium,100,100,0,0,1664.679971,208.5,2,25,30,19.01662448,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,SNSW,Cooma-Monaro,NSW Medium,100,100,0,0,1664.679971,102.5,2,25,30,19.01662448,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,VIC,VIC,Ovens Murray,VIC Medium,100,100,0,0,1604.852065,242,2,25,30,18.1421715,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,VIC,VIC,Murray River,VIC Medium,100,100,0,0,1604.852065,242,2,25,30,18.49444668,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,VIC,VIC,Western Victoria,VIC Medium,100,100,0,0,1604.852065,136,2,25,30,18.1421715,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,VIC,VIC,South West Victoria,VIC Medium,100,100,0,0,1604.852065,212.6666667,2,25,30,18.1421715,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,VIC,VIC,Gippsland,VIC Low,100,100,0,0,1560.685,176,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,VIC,VIC,Central North Vic,VIC High,100,100,0,0,1634.296775,282,2,25,30,18.1421715,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,South East SA,SA Low,100,100,0,0,1560.685,156.6666667,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,Riverland,SA Low,100,100,0,0,1560.685,156.6666667,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,Mid-North SA,SA Low,100,100,0,0,1560.685,229.3333333,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,Yorke Peninsula,SA Low,100,100,0,0,1560.685,123.3333333,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,Northern SA,SA Medium,100,100,0,0,1691.342178,229.3333333,2,25,30,19.70648255,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,Leigh Creek,SA Medium,100,100,0,0,1691.342178,156.6666667,2,25,30,19.70648255,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,Roxby Downs,SA Medium,100,100,0,0,1691.342178,262.6666667,2,25,30,19.70648255,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,Eastern Eyre Peninsula,SA Medium,100,100,0,0,1691.342178,262.6666667,2,25,30,19.70648255,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,SA,SA,Western Eyre Peninsula,SA Medium,100,100,0,0,1691.342178,156.6666667,2,25,30,19.70648255,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,TAS,TAS,North East Tasmania,TAS Low,100,100,0,0,1560.685,226.6666667,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,TAS,TAS,North West Tasmania,TAS Medium,100,100,0,0,1665.331671,332.6666667,2,25,30,19.12350949,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,TAS,TAS,Central Highlands,TAS Low,100,100,0,0,1560.685,332.6666667,2,25,30,17.61375874,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,NSW,CNSW,New South Wales Non-REZ,NSW Medium,100,100,0,0,1664.679971,106.6666667,2,25,30,19.01662448,0,0,0,0,0.2,0,,,,,,
Large scale Solar PV,Solar,VIC,VIC,Victoria Non-REZ,VIC Medium,100,100,0,0,1604.852065,212.6666667,2,25,30,18.1421715,0,0,0,0,0.2,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,CNQ,Far North QLD,QLD Low,100,100,0,0,7685.207,229.3333333,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,CNQ,North Qld Clean Energy Hub,QLD Low,100,100,0,0,7685.207,262.6666667,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,CNQ,Northern Qld,QLD Low,100,100,0,0,7685.207,229.3333333,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,CNQ,Isaac,QLD Low,100,100,0,0,7685.207,229.3333333,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,CNQ,Barcaldine,QLD Medium,100,100,0,0,8247.825957,156.6666667,6,25,40,165.6803477,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,CNQ,Fitzroy,QLD Low,100,100,0,0,7685.207,123.3333333,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,SQ,Wide Bay,QLD Low,100,100,0,0,7685.207,123.3333333,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,SQ,Darling Downs,QLD Low,100,100,0,0,7685.207,123.3333333,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,QLD,SQ,Banana,QLD Medium,100,100,0,0,8247.825957,123.3333333,6,25,40,165.6803477,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,NNSW,North West NSW,NSW Medium,100,100,0,0,8150.189578,132.5,6,25,40,159.4978804,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,NNSW,New England,NSW Low,100,100,0,0,7685.207,132.5,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,CNSW,Central-West Orana,NSW Medium,100,100,0,0,8150.189578,132.5,6,25,40,159.4978804,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,SNSW,Broken Hill,NSW High,100,100,0,0,8615.172156,176,6,25,40,172.5714772,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,SNSW,South West NSW,NSW High,100,100,0,0,8615.172156,132.5,6,25,40,172.5714772,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,SNSW,Wagga Wagga,NSW Medium,100,100,0,0,8150.189578,132.5,6,25,40,159.4978804,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,SNSW,Tumut,NSW Medium,100,100,0,0,8150.189578,208.5,6,25,40,159.4978804,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,SNSW,Cooma-Monaro,NSW Medium,100,100,0,0,8150.189578,102.5,6,25,40,159.4978804,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,VIC,VIC,Ovens Murray,VIC Medium,100,100,0,0,7906.895663,242,6,25,40,152.1635927,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,VIC,VIC,Murray River,VIC Medium,100,100,0,0,7906.895663,242,6,25,40,155.1182255,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,VIC,VIC,Western Victoria,VIC Medium,100,100,0,0,7906.895663,136,6,25,40,152.1635927,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,VIC,VIC,South West Victoria,VIC Medium,100,100,0,0,7906.895663,212.6666667,6,25,40,152.1635927,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,VIC,VIC,Gippsland,VIC Low,100,100,0,0,7685.207,176,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,VIC,VIC,Central North Vic,VIC High,100,100,0,0,8054.688106,282,6,25,40,152.1635927,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,South East SA,SA Low,100,100,0,0,7685.207,156.6666667,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,Riverland,SA Low,100,100,0,0,7685.207,156.6666667,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,Mid-North SA,SA Low,100,100,0,0,7685.207,229.3333333,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,Yorke Peninsula,SA Low,100,100,0,0,7685.207,123.3333333,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,Northern SA,SA Medium,100,100,0,0,8233.995113,229.3333333,6,25,40,165.2839178,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,Leigh Creek,SA Medium,100,100,0,0,8233.995113,156.6666667,6,25,40,165.2839178,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,Roxby Downs,SA Medium,100,100,0,0,8233.995113,262.6666667,6,25,40,165.2839178,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,Eastern Eyre Peninsula,SA Medium,100,100,0,0,8233.995113,262.6666667,6,25,40,165.2839178,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,SA,SA,Western Eyre Peninsula,SA Medium,100,100,0,0,8233.995113,156.6666667,6,25,40,165.2839178,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,TAS,TAS,North East Tasmania,TAS Low,100,100,0,0,7685.207,226.6666667,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,TAS,TAS,North West Tasmania,TAS Medium,100,100,0,0,8152.238024,332.6666667,6,25,40,160.3943556,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,TAS,TAS,Central Highlands,TAS Low,100,100,0,0,7685.207,332.6666667,6,25,40,147.7316434,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,NSW,CNSW,New South Wales Non-REZ,NSW Medium,100,100,0,0,8150.189578,106.6666667,6,25,40,159.4978804,0,0,0,0,10,0,,,,,,
Solar Thermal (8hrs Storage),Solar,VIC,VIC,Victoria Non-REZ,VIC Medium,100,100,0,0,7906.895663,212.6666667,6,25,40,152.1635927,0,0,0,0,10,0,,,,,,
Battery Storage (1hr storage),NA,VIC,VIC,N/A,VIC Low,100,100,0,0,818.193,100,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery Storage (1hr storage),NA,QLD,CNQ,N/A,QLD Low,100,100,0,0,818.193,96.66666667,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery Storage (1hr storage),NA,QLD,GG,N/A,QLD Low,100,100,0,0,818.193,96.66666667,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
Battery Storage (1hr storage),NA,QLD,SQ,N/A,QLD Low,100,100,0,0,818.193,96.66666667,1,20,20,6.603863636,0,0,0,0,0,0,,,,,,
