Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Dalrymple North BESS,0,SA1,2022-08-30T04:05:00+0000,0,0,30,30,360,2.5,1-Dec,Accel Energy Retail Pty Ltd,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,DALNTH01,-34.933975,137.743564
Dalrymple North BESS,6.94132,SA1,2022-08-30T04:05:00+0000,23.14,23.14,30,30,360,2.5,1-Dec,Accel Energy Retail Pty Ltd,Load,Market,Scheduled,-,-,Storage,Battery,Y,DALNTHL1,-34.933975,137.743564
Ross River Solar Farm,18.30231,QLD1,2022-08-30T04:05:00+0000,15.78,14.3,116,128,696,2,Jan-64,Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,RRSF1,-19.4182089,146.7170667
Darling Downs Solar Farm,19.83795,QLD1,2022-08-30T04:05:00+0000,18.37,16.4,108,121,21,2.75,Jan-44,Darling Downs Solar Farm Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Y,DDSF1,-27.112668,150.881921
Bodangora Wind Farm,26.90442,NSW1,2022-08-30T04:05:00+0000,24.24,23.77,111,113.19,50,3.43,Jan-33,Bodangora Wind Farm Pty Limited,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,BODWF1,-32.41460016,149.0997951
Bannerton Solar Park,33.64,VIC1,2022-08-30T04:05:00+0000,38.23,33.64,88,100,18,2.5,Jan-40,Alinta Energy Retail Sales Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BANN1,-34.6898979,142.7452321
Willogoleche Wind Farm,80.9,SA1,2022-08-30T04:05:00+0000,33.99,67.78,238,119.36,50,"3.83, 3.43","1-24, 25-32",Willogoleche Power Pty Ltd As The Trustee For The Willogoleche Operating Trust,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,WGWF1,-33.3930495,138.8447767
Bungala Two Solar Farm,103.22,SA1,2022-08-30T04:05:00+0000,93.84,76.46,110,135,25,2.5,54,Origin Energy Uranquinty Power Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Y,BNGSF2,-32.407733,137.841392
Collinsville Solar PV Power Station,9.468,QLD1,2022-08-30T04:05:00+0000,23.67,22.54,40,42,8,2.47,Jan-17,Braemar Power Project Pty Ltd,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Y,CSPVPS1,-20.546114,147.810373
Crookwell 2 Wind Farm,92.19374,NSW1,2022-08-30T04:05:00+0000,101.31,96,91,96.04,100,3.43,Jan-28,Crookwell Development Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CROOKWF2,-34.5165,149.54248
